;code UAI;n° SIRET;type d'établissement;nom;sigle;statut;tutelle;université;boîte postale;adresse;CP;commune;commune (COG);cedex;téléphone;arrondissement;département;académie;région;région (COG);longitude (X);latitude (Y);début portes ouvertes;fin portes ouvertes;commentaires portes ouvertes;lien site onisep.fr;;photo-batiment;photo-proviseur;photo-class;;;;;;;;
;0751708Z;19751708900011;Lycée;Lycée Louis Armand;;Public;Ministère chargé de l'Éducation nationale;;;16 bis avenue Marc Sangnier;75014;Paris;75114;;01 45 57 51 50;14;Paris;Paris;Ile-de-France;11;2,285231;48,837448;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1230;;http://s1.lprs1.fr/images/2017/09/14/7260804_d5793712-993a-11e7-96e9-5398a27535e0-1_1000x625.jpg;http://www.saerp.fr/wp-content/uploads/2017/09/Photo-Labb%C3%A9-Louis-Armand.jpg;https://pbs.twimg.com/media/DPVjpqyWAAEjXvK.jpg;;;;;;;;
;0750675B;19750675100019;Lycée;Lycée Voltaire;;Public;Ministère chargé de l'Éducation nationale;;;101 avenue de la République;75011;Paris;75111;;01 55 28 08 08;11;Paris;Paris;Ile-de-France;11;2,384124;48,863463;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1706;;http://image-parcours.copainsdavant.com/image/750/1263122089/4061379.jpg;http://lvdneng.rosselcdn.net/sites/default/files/dpistyles_v2/ena_16_9_extra_big/2016/08/30/node_39484/898256/public/2016/08/30/B979568111Z.1_20160830161524_000%2BG6H7GQCEB.5-0.jpg?itok=LOE-ykbL;http://www.alteregoratio.org/wp-content/uploads/2018/01/goni-e1516360628171-1020x600.jpg;;;;;;;;
;0750651A;19750651200015;Lycée;Lycée Simone Weil;;Public;Ministère chargé de l'Éducation nationale;;;7 rue de Poitou;75003;Paris;75103;;01 48 87 37 74;03;Paris;Paris;Ile-de-France;11;2,364006;48,8614;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1714;;http://monlycee.net/app/webroot/img/111118_1.jpg;https://lh3.googleusercontent.com/Ck_S5cxvYPQ82qNu8NPTQUKwL-z6iLjSHHmUJQpS_3QXgFxWuWEb9OxVOJem2n2hTkF4_08I1WB2ZL0rV-gBHxIhXVymHzjjnLM9s54-e_M-95lfumNkwYtTehLnQSZnVaDtLUsfjw;http://www.lycee-simone-weil.fr/web/uploads/img/nouveaute/d5215fb7629c594c4bb14b1a4bd5494d.jpg;;;;;;;;
;0753935V;78441123300025;Lycée;Lycée privé Georges Leven;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;30 boulevard Carnot;75012;Paris;75112;;01 44 73 80 60;12;Paris;Paris;Ile-de-France;11;2,413;48,84376;;;;www.onisep.fr/http/redirection/etablissement/identifiant/2109;;http://www.geprif-social.fr/sites/default/files/geprif/fiche_realisation/photo/lycee_leven_paris_12_3_0.jpg;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxVCva9TPsMXYCYq7Ky5bsPzRnWnhAE4YmMq2cSC0NzFpoLR7H1Q;https://www.aiu.org/sites/default/files/IMG_0430.JPG;;;;;;;;
;0754239A;78475421000028;Lycée;Lycée polyvalent privé Saint Jean de Montmartre;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;31 rue Caulaincourt;75018;Paris;75118;;01 46 06 03 08;18;Paris;Paris;Ile-de-France;11;2,333761;48,887996;23/03/2018;23/03/2018;"de 14h à 17h ; autres portes ouvertes le 20 mai et le 26 mai 2018 de 10h à 17h";www.onisep.fr/http/redirection/etablissement/identifiant/4;;https://www.justacote.com/photos_entreprises/groupe-scolaire-saint-jean-de-montmartre-paris-1465231973100.jpg;http://www.ancienshoche.org/wp-content/uploads/2015/02/gilbert-guislain-300x225.jpeg;https://www.lycee-stjeandemontmartre.com/wp-content/uploads/sites/56/2018/04/Capture-d%E2%80%99%C3%A9cran-2018-04-23-%C3%A0-15.43.57.png;;;;;;;;
;0750681H;19750681900014;Lycée;Lycée-ESAA-Ecole Boulle;;Public;Ministère chargé de l'Éducation nationale;;;9 rue Pierre Bourdan;75571;Paris;75112;Cedex 12;01 44 67 69 67;12;Paris;Paris;Ile-de-France;11;2,391141;48,847194;;;;www.onisep.fr/http/redirection/etablissement/identifiant/555;;http://belairsud.blogspirit.com/media/01/02/1738560643.JPG;https://www.superprof.fr/images/annonces/professeur-home-cours-tapisserie-maitre-artisan-metiers-art-diplome-ecole-boulle-donnes-boutique-atelier.jpg;http://4.bp.blogspot.com/-LYtaxPKmBjs/Vm8JtPSJNqI/AAAAAAAAXXU/08C50036Sjw/s1600/20151214_101201.jpg;;;;;;;;
;0750705J;19750705600012;Lycée;Lycée international de Paris Honoré de Balzac;;Public;Ministère chargé de l'Éducation nationale;;;118 boulevard Bessières;75017;Paris;75117;;01 53 11 12 13;17;Paris;Paris;Ile-de-France;11;2,316591;48,895448;;;;www.onisep.fr/http/redirection/etablissement/identifiant/705;;http://gretametehor.com/wp-content/uploads/2016/09/Honore-de-Balzac.jpg;http://4.bp.blogspot.com/-AqV3m7Nfgds/T3TMX4251FI/AAAAAAAAAEs/RhimszCtXI8/s1600/BALZAC+27.jpg;http://cache.media.education.gouv.fr/image/03-lycee_G_et_T/29/9/047513_66299.jpg;;;;;;;;
;0750667T;19750667800014;Lycée;Lycée Condorcet;;Public;Ministère chargé de l'Éducation nationale;;;8 rue du Havre;75009;Paris;75109;;01 48 74 25 95;09;Paris;Paris;Ile-de-France;11;2,326766;48,874732;20/01/2018;20/01/2018;"pour les CPGE ; de 9h à 12h pour les CPGE scientifiques et de 14h à 17h pour les CPGE littéraires";www.onisep.fr/http/redirection/etablissement/identifiant/1195;;https://files1.structurae.de/files/photos/64/paris_9eme_arondissement/p1170419.jpg;http://www.lvhpog.com/lvhv2/wp-content/uploads/2016/09/20170911_130334.jpg;https://photos.lci.fr/images/613/344/salle-de-classe-lycee-illustration-4161d3-0@1x.jpeg;;;;;;;;
;0750698B;19750698300018;Lycée;Lycée Claude Bernard;;Public;Ministère chargé de l'Éducation nationale;;;1 avenue du Parc des Princes;75016;Paris;75116;;01 46 51 16 63;16;Paris;Paris;Ile-de-France;11;2,25475;48,841973;;;;www.onisep.fr/http/redirection/etablissement/identifiant/2105;;http://gretametehor.com/wp-content/uploads/2016/09/Claude-Bernard.jpg;http://www.llb.school/ressources/images/6f86dbfa5e9b.jpeg;https://blogs.swarthmore.edu/its/wp-content/uploads/2017/04/active-learning-17c4bho-1600x768.jpeg;;;;;;;;
;0750657G;19750657900014;Lycée;Lycée Montaigne;;Public;Ministère chargé de l'Éducation nationale;;;17 rue Auguste Comte;75006;Paris;75106;;01 44 41 83 23;06;Paris;Paris;Ile-de-France;11;2,333176;48,844382;24/01/2018;24/01/2018;à partir de 14h, pour les CPGE uniquement. Autres portes ouvertes pour le lycée : samedi 17/03/2018;www.onisep.fr/http/redirection/etablissement/identifiant/2618;;https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Lyc%C3%A9e_Montaigne_01.jpg/1200px-Lyc%C3%A9e_Montaigne_01.jpg;http://www.llb.school/ressources/images/97b48c8deaad.jpg;http://www.abc.net.au/news/image/9119406-3x2-940x627.jpg;;;;;;;;
;0750660K;19750660300012;Lycée;Lycée Fénelon;;Public;Ministère chargé de l'Éducation nationale;;;2 rue de l'Eperon;75006;Paris;75106;;01 44 41 18 88;06;Paris;Paris;Ile-de-France;11;2,340877;48,853264;;;;www.onisep.fr/http/redirection/etablissement/identifiant/3602;;https://upload.wikimedia.org/wikipedia/commons/2/26/Lyc%C3%A9e_F%C3%A9nelon_%28Paris%29_-_annexe.jpg;http://s1.lprs1.fr/images/2016/09/07/6099679_1-0-552591771.jpg;https://i.ytimg.com/vi/5nViG4vVla4/maxresdefault.jpg;;;;;;;;
;0754860A;;Lycée;Lycée privé Thérèse Chappuis;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;52 rue Vaneau;75007;Paris;75107;;01 53 63 26 35;07;Paris;Paris;Ile-de-France;11;2,319396;48,850887;04/04/2018;04/04/2018;ou 11/04/2018 de 14h à 16h;www.onisep.fr/http/redirection/etablissement/identifiant/4529;;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Lyc%C3%A9e-Saint-Jean-de-Passy-Paris-1.jpg/640px-Lyc%C3%A9e-Saint-Jean-de-Passy-Paris-1.jpg;https://www.ouest-france.fr/sites/default/files/styles/image-900x500/public/2013/09/30/un-nouveau-proviseur-au-lycee-les-bourdonnieres.jpg?itok=EkYikC5U;https://arierumarusera.files.wordpress.com/2011/07/dsc02791.jpg;;;;;;;;
;0753941B;78466211600036;Lycée;Lycée privé Gerson;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;31 rue de la Pompe;75016;Paris;75116;;01 45 03 81 00;16;Paris;Paris;Ile-de-France;11;2,275171;48,86078;;;;www.onisep.fr/http/redirection/etablissement/identifiant/5167;;http://medias-presse.info/wp-content/uploads/2014/04/lyc%C3%A9e-gerson.jpg;https://www.lyc-dumas-ales.ac-montpellier.fr/sites/lyc-dumas-ales/files/medias_permanents/martinez_0.jpg;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3hmkelADlCRsmXQzvefyuc0RJcbivPvPCTPc419_mO_0rMR9P;;;;;;;;
;0750662M;19750662900017;Lycée;Lycée Victor Duruy;;Public;Ministère chargé de l'Éducation nationale;;;33 boulevard des Invalides;75007;Paris;75107;;01 40 62 31 31;07;Paris;Paris;Ile-de-France;11;2,314981;48,854446;;;;www.onisep.fr/http/redirection/etablissement/identifiant/5912;;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Facade_lyc%C3%A9e_Victor-Duruy_1.jpg/1200px-Facade_lyc%C3%A9e_Victor-Duruy_1.jpg;http://cdn.programme-television.org/var/premiere/storage/images/tele-7-jours/news-tv/christophe-salengro-le-president-du-groland-est-decede-a-64-ans-4570256/94203068-1-fre-FR/Christophe-Salengro-le-president-du-Groland-est-decede-a-64-ans_news_full.jpg;https://secure.i.telegraph.co.uk/multimedia/archive/01810/school_1810350c.jpg;;;;;;;;
;0750715V;19750715500012;Lycée;Lycée Maurice Ravel;;Public;Ministère chargé de l'Éducation nationale;;;89 cours de Vincennes;75020;Paris;75120;;01 44 64 87 40;20;Paris;Paris;Ile-de-France;11;2,408227;48,847617;10/02/2018;10/02/2018;;www.onisep.fr/http/redirection/etablissement/identifiant/6513;;http://www.lycee-maurice-ravel.fr/wp-content/uploads/cite-maurice-ravel.jpg;https://assets.vice.com/content-images/contentimage/no-slug/640fe10fad351a8afbdb26e8de1ea9da.jpg;https://cdn.cnn.com/cnnnext/dam/assets/151016123628-02-julian-germain-classroom-super-169.jpg;;;;;;;;
;0752546K;19752546200010;Collège;Collège Camille Sée;;Public;Ministère chargé de l'Éducation nationale;;;11 rue Léon Lhermitte;75015;Paris;75115;;01 48 28 13 37;15;Paris;Paris;Ile-de-France;11;2,296677;48,842878;;;;;;https://www.saintlambert.paris/photo/art/default/8481732-13329318.jpg?v=1447837717.jpg;https://easyreadernews.com/wp-content/uploads/2014/02/charles1-600x397.jpg;http://www.cdispaces.ca/files/school-furniture/movement-in-the-classroom.jpg;;;;;;;;
;0752545J;19752545400017;Collège;Collège Buffon;;Public;Ministère chargé de l'Éducation nationale;;;16 boulevard Pasteur;75015;Paris;75115;;01 44 38 78 70;15;Paris;Paris;Ile-de-France;11;2,312298;48,842992;;;;;;https://www.fcpe75.org/wp-content/uploads/2015/12/buffon.jpg;http://blackdaleschool.org/jpg/Principal%20in%20his%20Office.JPG;https://www.teachthought.com/wp-content/uploads/2014/05/tulanepublicrelations-formative-data-sources.jpg;;;;;;;;
;0752920S;30812697800029;Collège;Collège privé Massillon;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;2 bis quai des Célestins;75004;Paris;75104;;01 53 01 91 60;4;Paris;Paris;Ile-de-France;11;2,362507;48,851286;;;;;;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ecole_Massillon_Quai_des_C%C3%A9lestins_2.jpg/1200px-Ecole_Massillon_Quai_des_C%C3%A9lestins_2.jpg;https://bloximages.chicago2.vip.townnews.com/ithaca.com/content/tncms/assets/v3/editorial/e/88/e886d300-3605-11e4-8786-001a4bcf887a/540b714d9ee79.image.jpg;https://www.fairmontflyer.com/wp-content/uploads/2013/09/21st-Classroom-Final-for-Web-copy-525x350.jpg;;;;;;;;
;0752897S;78466215700014;Collège;Collège privé de la Tour;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;86 rue de la Tour;75016;Paris;75116;;01 45 04 73 35;16;Paris;Paris;Ile-de-France;11;2,278679;48,861552;;;;;;http://collegeta.fr/wp-content/uploads/2016/10/entree_college-ta.jpg;http://foothilldragonpress.org/wp-content/uploads/Cohen@Deskposed-759x500.jpg;https://theblacksheeponline.com/wp-content/uploads/2017/01/SI-2255-classroom.detail.jpg;;;;;;;;
;0752906B;78425931900019;Collège;Collège privé Yabné;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;29 avenue Léon Bollée;75013;Paris;75113;;01 44 24 85 85;13;Paris;Paris;Ile-de-France;11;2,362238;48,81798;;;;;;http://www.lefigaro.fr/medias/2013/04/15/PHO9fae13ca-a5cc-11e2-80f6-a3a53a5a4c92-805x453.jpg;http://bondotti.ac.ke/wp-content/uploads/2015/08/The-Principle-Mr-Peter-Omondi-in-his-office.jpg;https://www.2020spaces.com/wp-content/uploads/2017/10/classroom.jpg;;;;;;;;
;0752926Y;78466211600028;Collège;Collège privé Gerson;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;31 rue de la Pompe;75016;Paris;75116;;01 45 03 81 00;16;Paris;Paris;Ile-de-France;11;2,275171;48,86078;;;;;;https://www.batiactu.com/images/auto/620-465-c/20180209_164008_facade-saint-lycee-hulst-credits-photo-cyrus-cornut.jpg;https://hilite.org/wp-content/uploads/2015/09/Beat.Photo_.jpg;http://www.radioslatina.hr/wp-content/uploads/2018/01/u%C4%8Denici-osnovna-%C5%A1kola-ilustracija.jpg;;;;;;;;
;0752694W;19752694000014;Collège;Collège Camille Claudel;;Public;Ministère chargé de l'Éducation nationale;;;4 bis avenue de Choisy;75013;Paris;75113;;01 56 61 72 50;13;Paris;Paris;Ile-de-France;11;2,360162;48,825909;;;;;;http://lyc-jules-ferry.scola.ac-paris.fr/wp-content/uploads/2013/06/vue-jules-ferry.jpg;http://www.huntingtoncountytab.com/sites/default/files/styles/scale500w/public/feature/Parsons.feature4645.jpg;http://www.designshare.com/dbadmin/upload/projects/1/502/General_Classroom_6.jpg;;;;;;;;
;0752252R;19752252700013;Collège;Collège Hector Berlioz;;Public;Ministère chargé de l'Éducation nationale;;;17 rue Georgette Agutte;75018;Paris;75118;;01 46 27 33 85;18;Paris;Paris;Ile-de-France;11;2,33292;48,895798;;;;;;http://lycee-felix-mayer.com/images/etablissement/lycee-polyvalent-felix-mayer-creutzwald-cour-3.jpg;http://themolokainews.com/wp-content/uploads/2010/09/dsc_0148.jpg;https://news.virginia.edu/sites/default/files/styles/uva_basic_article/public/article_image/stree_law.jpg?itok=5rMPeL7Z.jpg;;;;;;;;
;0752194C;19752194100017;Collège;Collège Janson de Sailly-site Delacroix;;Public;Ministère chargé de l'Éducation nationale;;;13 rue Eugène Delacroix;75016;Paris;75116;;01 45 04 33 54;16;Paris;Paris;Ile-de-France;11;2,277863;48,862731;;;;;;http://paris1900.lartnouveau.com/paris05/ecoles/lycee_louis_le_grand/actuel/1lllg3.JPG;http://tamnews.org/wp-content/uploads/2012/10/LynchOnline.jpg;https://static01.nyt.com/images/2017/08/13/nyregion/13MASTERY/13MASTERY-articleLarge.jpg;;;;;;;;
;0752555V;19752555300016;Collège;Collège Henri Bergson;;Public;Ministère chargé de l'Éducation nationale;;;27 rue Edouard Pailleron;75019;Paris;75119;;01 42 02 06 36;19;Paris;Paris;Ile-de-France;11;2,377997;48,881053;;;;;;https://upload.wikimedia.org/wikipedia/commons/e/e5/Coll%C3%A8ge_Saint_Stanislas_-_Mons_%281%29.JPG;https://vignette.wikia.nocookie.net/agk/images/7/7e/Principal_Angus.jpg;https://www.nacel.org/images/programmes/Exchange-program-in-the-USA-image2.jpg;;;;;;;;
;0751703U;19751703000015;Collège;Collège Jean Baptiste Poquelin;;Public;Ministère chargé de l'Éducation nationale;;;6 rue Molière;75001;Paris;75101;;01 42 86 60 80;1;Paris;Paris;Ile-de-France;11;2,335784;48,86494;;;;;;https://media.ouest-france.fr/v1/pictures/b40c049ea94060d9108b0ca854bd1202-bocage-virois-bientot-de-grands-travaux-au-college-maupas.jpg;https://acestoohigh.files.wordpress.com/2013/03/javier.jpg;http://mediad.publicbroadcasting.net/p/wunc/files/201412/FullSizeRender_%282%29.jpg;;;;;;;;
;0752894N;33482277200029;Collège;Collège privé Sainte-Jeanne Elisabeth;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;8 rue Maurice de la Sizeranne;75007;Paris;75107;;01 53 58 59 00;7;Paris;Paris;Ile-de-France;11;2,315248;48,846612;;;;;;https://media.ouest-france.fr/v1/pictures/0a64703c27e388b4f92b53c424ee6934-un-projet-de-mariages-haut-de-gamme-pour-sauver-le-college-de-combree.jpg;https://www.pe.com/wp-content/uploads/migration/n22/n22kmm-wprincipals0629roebinary1082132.jpg?w=620;https://study.com/cimages/multimages/16/08619177-0624-464b-8b67-b28cd61b913e_adobestock_118245338.png;;;;;;;;
;0753996L;78466218100014;Collège;Collège privé Saint-Honoré d'Eylau;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;66 avenue Raymond Poincaré;75016;Paris;75116;;01 45 53 14 15;16;Paris;Paris;Ile-de-France;11;2,285686;48,868216;;;;;;https://rcf.fr/sites/default/static.rcf.fr/radios/rcf49/banner2_061412000_1624_20052015.jpg;https://s.hdnux.com/photos/02/13/06/569782/5/1024x1024.jpg;http://cdn.neonsky.com/511d5ec04f4b0/images/_2-20110913_9506_1-1.jpg;;;;;;;;
;0752553T;19752553800017;Collège;Collège Honoré de Balzac;;Public;Ministère chargé de l'Éducation nationale;;;118 boulevard Bessières;75017;Paris;75117;;01 53 11 12 13;17;Paris;Paris;Ile-de-France;11;2,316591;48,895448;;;;;;http://www.courrierdelouest.fr/sites/courrierdelouest.fr/files/imagecache/detail/2015/11/13/photo-1447415462-441807.jpg;https://d1bdhkmqqz901h.cloudfront.net/980x653/smart/http://www.therepublic.com/wp-content/uploads/sites/6/2016/05/5616c58f99424.hires_.jpg;http://www.cdispaces.ca/files/school-furniture/movement-in-the-classroom.jpg;;;;;;;;
;0750465Y;19750465700010;Collège;Collège Lucie Aubrac;;Public;Ministère chargé de l'Éducation nationale;;;62 rue de la Fontaine-au-Roi;75011;Paris;75111;;01 48 06 84 00;11;Paris;Paris;Ile-de-France;11;2,374377;48,868325;;;;;;https://www.ouest-france.fr/sites/default/files/styles/image-900x500/public/2016/05/25/angers-deux-lycees-prives-vont-fusionner.jpg;https://easyreadernews.com/wp-content/uploads/2014/02/charles1-600x397.jpg;https://www.teachthought.com/wp-content/uploads/2014/05/tulanepublicrelations-formative-data-sources.jpg;;;;;;;;
;0752829T;19752829200018;Collège;Collège Bernard Palissy;;Public;Ministère chargé de l'Éducation nationale;;;21 rue des Petits Hôtels;75010;Paris;75110;;01 53 24 64 65;10;Paris;Paris;Ile-de-France;11;2,352682;48,877535;;;;;;http://www.wiconnect.fr/wp-content/uploads/2015/11/college.jpg;http://blackdaleschool.org/jpg/Principal%20in%20his%20Office.JPG;https://www.fairmontflyer.com/wp-content/uploads/2013/09/21st-Classroom-Final-for-Web-copy-525x350.jpg;;;;;;;;
;0753206C;78424183800035;Collège;Collège privé Sinaï;;Privé sous contrat;Ministère chargé de l'Éducation nationale;;;2 rue Tristan Tzara;75018;Paris;75118;;01 40 38 14 70;18;Paris;Paris;Ile-de-France;11;2,365936;48,894382;;;;;;https://www.orientation-education.com/files/2017-06/000-par2013460-0.jpg;https://bloximages.chicago2.vip.townnews.com/ithaca.com/content/tncms/assets/v3/editorial/e/88/e886d300-3605-11e4-8786-001a4bcf887a/540b714d9ee79.image.jpg;https://theblacksheeponline.com/wp-content/uploads/2017/01/SI-2255-classroom.detail.jpg;;;;;;;;
;0752550P;19752550400019;Collège;Collège Jean de La Fontaine;;Public;Ministère chargé de l'Éducation nationale;;;1 place de la Porte Molitor;75016;Paris;75116;;01 46 51 16 00;16;Paris;Paris;Ile-de-France;11;2,256927;48,845381;;;;;;http://assets.etudiant.lefigaro.fr/cms/pics/PHO5ac9abea-2770-11e3-a9ef-d43c3a82c8a9-805x453.jpg;http://foothilldragonpress.org/wp-content/uploads/Cohen@Deskposed-759x500.jpg;https://www.2020spaces.com/wp-content/uploads/2017/10/classroom.jpg;;;;;;;;
